sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,bovada_line,bovada_over_price,bovada_under_price,draftkings_line,draftkings_over_price,draftkings_under_price,fanduel_line,fanduel_over_price,fanduel_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_turnovers,Anthony Edwards,,,2025-03-09 18:16:29.450565,,,,2.5,-154.0,120.0,,,,,,,,,,,,,6.08,-133.39,133.39,-154.0,120.0,draftkings,draftkings,2.5,2.5,2.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_assists,Bismack Biyombo,,,2025-03-09 18:16:29.452621,,,,,,,,,,0.5,-222.0,160.0,,,,,,,7.41,-179.25,179.25,-222.0,160.0,betmgm,betmgm,0.5,0.5,0.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_assists_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.449096,,,,2.5,1100.0,,,,,2.5,1000.0,,,,,,,,,,,1100.0,,draftkings,,2.5,,2.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_blocks,Bismack Biyombo,,,2025-03-09 18:16:29.452759,,,,,,,,,,0.5,-233.0,165.0,,,,,,,7.71,-185.42,185.42,-233.0,165.0,betmgm,betmgm,0.5,0.5,0.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_blocks_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.450856,,,,,,,,,,,,,1.5,900.0,,,,,,,,900.0,,betonlineag,,1.5,,1.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points,Bismack Biyombo,,,2025-03-09 18:16:29.445588,,,,5.5,-105.0,-125.0,5.5,-102.0,-125.0,5.5,105.0,-141.0,,,,5.5,-118.0,-114.0,2.05,109.21,-109.21,105.0,-114.0,betmgm,betrivers,5.5,5.5,5.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.445712,,,,14.5,-115.0,,9.5,470.0,,9.5,775.0,,,,,,,,,,,775.0,,betmgm,,9.5,,9.5,most_common
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_assists,Bismack Biyombo,,,2025-03-09 18:16:29.452950,,,,,,,,,,6.5,100.0,-135.0,,,,,,,7.45,114.89,-114.89,100.0,-135.0,betmgm,betmgm,6.5,6.5,6.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_assists_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.449588,,,,4.5,250.0,,,,,,,,,,,,,,,,,250.0,,draftkings,,4.5,,4.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_rebounds,Bismack Biyombo,,,2025-03-09 18:16:29.446436,10.5,-145.0,110.0,10.5,-125.0,-105.0,10.5,-132.0,104.0,10.5,-115.0,-115.0,,,,10.5,-114.0,,0.89,-111.87,111.87,-114.0,110.0,betrivers,bovada,10.5,10.5,10.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_rebounds_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.446575,,,,10.5,950.0,,5.5,260.0,-385.0,,,,,,,,,,,,,260.0,-385.0,fanduel,fanduel,5.5,5.5,8.0,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_rebounds_assists,Bismack Biyombo,,,2025-03-09 18:16:29.449864,,,,12.5,100.0,-130.0,,,,12.5,100.0,-135.0,12.5,100.0,-130.0,,,,6.52,113.04,-113.04,100.0,-130.0,betmgm,betonlineag,12.5,12.5,12.5,median
basketball_nba,8eea0fac716aea84884f4538afd3f382,2025-03-10T00:10:00Z,San Antonio Spurs,Minnesota Timberwolves,player_points_rebounds_assists_alternate,Bismack Biyombo,,,2025-03-09 18:16:29.450042,,,,19.5,-263.0,,,,,,,,20.5,4005.0,,,,,,,,-263.0,,draftkings,,19.5,,20.0,median
